Area,Bedrooms,Bathrooms,Age,Price
1360,2,4,1,388470
4272,3,4,7,760837
3592,3,1,21,577492
966,2,3,5,295779
4926,5,1,11,867356
3944,4,4,14,791179
3671,3,3,24,668603
3419,5,2,7,695452
630,2,3,3,259263
2185,5,4,14,625740
1269,1,3,27,264333
2891,3,1,19,499005
2933,2,2,24,498524
1684,4,2,16,450289
3885,2,2,12,598181
4617,4,4,17,858193
3404,2,4,1,612727
974,5,2,12,405433
1582,5,3,12,518651
3058,5,2,21,665805
2547,1,3,14,417775
3247,4,3,19,646213
1475,5,4,28,512731
2306,1,3,26,377909
689,4,2,9,328221
3234,2,4,28,571167
3505,1,1,2,481376
2399,3,1,18,457444
1767,1,4,2,388875
2028,1,2,21,320057
3702,4,1,13,655869
4056,2,1,7,598106
4390,3,3,26,737846
1146,5,3,22,443564
3388,5,2,29,677175
2935,1,4,3,504260
1100,4,2,26,356900
2863,4,4,27,622141
2561,5,1,19,583102
741,3,3,10,319093
2541,2,2,25,432917
3324,3,2,10,586028
3112,2,4,26,566188
1863,5,4,29,558582
1978,2,2,10,387373
3056,4,4,1,704407
1275,1,2,29,229886
4514,1,2,16,640936
534,5,2,8,376085
3652,4,1,27,627878
2455,3,4,27,555019
2085,4,3,1,552577
4443,1,3,28,661794
3573,1,4,23,572515
1521,4,2,14,431902
3961,4,3,15,752714
3113,1,3,24,471813
4343,3,4,3,805870
2000,5,3,7,553864
661,5,2,8,395356
4797,4,4,25,864306
2481,5,2,25,583675
1495,1,3,4,333397
3842,1,3,15,582349
4298,4,2,12,747814
1775,4,1,29,394935
1516,4,3,6,468698
837,3,1,25,252149
1378,5,3,19,476086
1576,4,1,16,403365
4493,2,1,2,681913
879,2,1,4,225732
992,1,2,18,212356
2562,5,1,11,593811
4384,4,1,28,727242
564,2,1,26,167640
3068,5,3,6,712951
2527,1,1,27,361456
3195,3,3,8,627867
1995,5,1,27,480154
891,5,1,5,365998
4974,3,2,28,771733
4061,5,3,25,786362
2778,1,1,16,391749
3599,1,3,15,567305
700,3,3,22,284575
3604,4,4,2,770002
2954,2,2,20,502659
4145,4,2,25,747154
1304,5,2,3,462104
3231,2,4,9,599070
3273,3,4,4,665441
2070,3,2,20,442388
3190,2,4,21,577270
4340,1,4,29,666504
1528,2,4,9,413096
1002,5,2,11,428617
4993,1,2,9,708732
1370,3,2,28,333893
4988,2,4,12,790663
706,4,2,10,349564
1984,4,4,21,520074
1363,5,1,15,412304
3290,4,4,7,715132
1063,2,3,7,296154
4691,2,2,26,684291
2257,4,2,24,504868
2178,2,3,7,460272
3742,5,4,12,801030
1559,1,1,26,237706
2222,5,3,1,606109
3814,5,3,29,755810
3657,2,4,29,616668
3125,1,2,11,493099
3229,2,4,9,596363
2097,3,3,11,479182
3560,2,3,10,597650
3193,2,2,14,529583
4127,2,2,15,622275
1863,1,2,16,314801
2481,2,4,25,495874
2163,1,2,1,374185
2029,4,3,17,529546
2538,3,3,11,547251
3802,1,1,18,511571
2737,4,4,25,624130
1806,1,1,22,273903
4529,1,3,17,685826
3175,3,1,29,516875
1782,5,3,16,530094
1209,5,1,29,404701
4913,1,2,5,685465
4248,2,1,24,611642
1163,4,2,14,384601
2498,2,2,2,466858
3945,2,4,5,702109
4243,1,2,2,631835
1995,1,2,29,305237
3804,1,1,28,512969
4263,1,3,0,649187
2353,5,4,29,609056
1791,1,2,12,306463
4081,5,4,27,825335
3957,5,1,20,716306
2136,1,2,25,352091
4196,3,1,13,668870
3499,4,4,12,708255
3652,2,1,26,555270
1198,5,4,3,511506
2660,4,1,6,546086
4597,3,4,21,813291
1354,2,3,9,331313
3974,2,1,6,582773
2207,5,1,20,535413
3277,1,3,14,530611
2233,3,3,14,485786
4010,5,1,3,772620
702,3,3,22,304164
3755,1,2,22,551967
4718,1,4,5,732359
4996,5,4,23,952388
1266,1,4,19,291712
4889,4,2,25,822277
2827,2,3,4,541645
3431,5,3,19,745416
697,3,1,11,248629
2430,4,3,0,590531
4082,5,1,27,732130
1108,1,2,7,254327
3772,1,4,0,616982
